rank	doi	journal	publication_date	pubmed_id	title
0	10.1097/CJI.0000000000000385	Journal of immunotherapy (Hagerstown, Md. : 1997)	2021-08-19	34406158	Long-term Overall Survival and Predictors in Anti-PD-1-naive Melanoma Patients With Brain Metastases Treated With Immune Checkpoint Inhibitors in the Real-world Setting: A Multicohort Study.
1	10.1016/j.mcpro.2021.100133	Molecular & cellular proteomics : MCP	2021-08-16	34391888	Optimized Liquid and Gas Phase Fractionation Increases HLA-Peptidome Coverage for Primary Cell and Tissue Samples.
2	10.1136/jitc-2021-002447	Journal for immunotherapy of cancer	2021-07-25	34301809|29906252|27138582|29395863|31601568|30242316|24132639|28212060|31953313|30242306|26952546|26712084|32728392|24845630|29540345|25399552|32681519|32673417|27979383|28453692|28228726|32402160|29162153|31639039	CX-072 (pacmilimab), a Probody 
3	10.1136/jitc-2021-002446	Journal for immunotherapy of cancer	2021-07-25	34301808|30913028|23741070|32049290|24433434|32681519|30110194|31601568|30242316|29355075|24132639|29162153|26027431|32246002|24845630|28729151|31488176|29540345|30130720|29562145|31562796|31100038|23724867|32245016|32116716|31953313	CX-072 (pacmilimab), a Probody PD-L1 inhibitor, in combination with ipilimumab in patients with advanced solid tumors (PROCLAIM-CX-072): a first-in-human, dose-finding study.
4	10.1038/s41586-021-03704-y|10.1038/s41568-019-0235-4|10.1038/s41591-018-0266-5|10.1038/s41586-018-0130-2|10.1038/nature22991|10.1038/s41587-019-0322-9|10.1038/s41591-020-01206-4|10.1038/nmeth.4380|10.1016/j.cell.2018.10.038|10.1038/s41591-019-0522-3|10.1016/j.cell.2020.05.017|10.1182/blood-2006-11-056168|10.1093/nar/gkaa796|10.1172/JCI73639|10.1158/0008-5472.CAN-18-0163|10.1038/s41467-018-05072-0|10.1038/s41590-019-0312-6|10.1016/j.immuni.2016.07.021|10.1038/nature19330|10.1016/j.immuni.2018.12.021|10.1038/nature24993|10.1016/j.immuni.2007.07.010|10.1038/s41586-019-1836-5|10.1126/science.abb9847|10.1016/j.cell.2020.09.015|10.1038/s41586-020-2056-8|10.1016/j.smim.2020.101437|10.1038/nri.2017.131|10.1016/j.cell.2019.05.031|10.1038/s41592-019-0619-0|10.1158/0008-5472.CAN-06-1450|10.4049/jimmunol.1103020|10.4049/jimmunol.0902047|10.1182/blood-2018-04-843763|10.1084/jem.180.1.347|10.1016/j.immuni.2017.02.007|10.1615/CritRevImmunol.v24.i4.40|10.1177/1087057108329453	Nature	2021-07-23	34290406	Phenotype, specificity and avidity of antitumour CD8
5	10.6004/jnccn.2021.0018	Journal of the National Comprehensive Cancer Network : JNCCN	2021-04-13	33845460	NCCN Guidelines® Insights: Melanoma: Cutaneous, Version 2.2021.
6	10.1158/1078-0432.CCR-20-2790	Clinical cancer research : an official journal of the American Association for Cancer Research	2021-03-31	33782030	Analyses of PD-L1 and Inflammatory Gene Expression Association with Efficacy of Nivolumab ± Ipilimumab in Gastric Cancer/Gastroesophageal Junction Cancer.
7	10.1002/cam4.3789	Cancer medicine	2021-03-17	33724703|28600969|31320640|23071856|27533633|23568491|29320474|27882345|27863258|28296713|21642685|28467829|27536065|30782616|28557599|25409260|25765070|26842708|26359337|22150006|12744608|20525992|30664638|27739435|18066592|27470968|25428359|26264378|25399552|16908931|28481359|26854966|10809223|23313955|28056206|30202085|27054074|22588877|23775962|27123562	Characterization of genetics in patients with mucosal melanoma treated with immune checkpoint blockade.
8	10.1007/s00262-021-02855-1|10.1001/jamaoncol.2015.0137|10.1038/s41598-019-50574-6|10.2217/imt-2017-0108|10.1200/JCO.2012.41.6750|10.1038/s41416-018-0155-1|10.1002/cncr.31629|10.1200/jco.2018.79.0006|10.1186/s40425-019-0805-8|10.1016/j.jtho.2018.06.004|10.1136/esmoopen-2018-000457|10.1038/s41571-020-0352-8|10.1186/s40425-015-0081-1|10.1001/jamaoncol.2018.0798|10.1001/jamanetworkopen.2019.2535|10.1038/nature14011|10.1111/cas.13226|10.3389/fmed.2018.00351|10.1200/JCO.2019.37.8_suppl.131|10.1186/s12967-018-1467-x|10.1158/1078-0432.ccr-18-2795|10.1111/cas.14363|10.1016/j.jdermsci.2016.12.019|10.1200/jco.18.02141|10.1186/s40425-019-0779-6|10.1158/1078-0432.ccr-15-2872|10.1046/j.1523-1747.2001.01316.x|10.1080/10739680701418416|10.3389/fonc.2018.00367|10.1038/31002|10.1084/jem.194.5.615|10.1159/000078582|10.1016/s1521-6616(03)00003-2|10.1084/jem.20121350|10.4062/biomolther.2014.102|10.1183/16000617.0012-2019|10.1016/j.jtho.2018.08.2035|10.1136/jitc-2020-000840|10.1001/jamaoncol.2018.3923|10.1172/JCI128654|10.1186/s40425-019-0583-3|10.1152/ajplung.00344.2017|10.1111/j.1365-2567.2009.03219.x|10.1200/JCO.2018.36.5_suppl.204|10.3892/ol.2020.11618|10.1093/ecco-jcc/jjv227|10.1200/jco.19.01674|10.1200/JCO.2020.38.5_suppl.89|10.1002/cncr.32966|10.1186/s12885-019-6138-7|10.1016/j.cyto.2015.11.025|10.2147/btt.s3543|10.1186/s40425-017-0300-z|10.1001/jamaoncol.2017.2925|10.1158/1078-0432.ccr-15-1136	Cancer immunology, immunotherapy : CII	2021-01-23	33481042|31575933|29067884|30377338|29975414|30125216|31730012|29935305|30964126|32546734|26380086|29800974|31050774|25428504|28266140|29642948|30409824|32086984|28069323|31216228|31801636|26957557|11348459|17952801|30250827|9624005|11535630|15237263|12584051|27098623|24821910|31694838|30267842|32554618|30242316|31310589|31014385|28860146|20070409|32565986|26783344|32567084|31664934|26687628|29162153|28975219|26446948	Cytokine changes during immune-related adverse events and corticosteroid treatment in melanoma patients receiving immune checkpoint inhibitors.
9	10.1038/s41591-020-01206-4|10.1016/j.cell.2019.05.031	Nature medicine	2021-01-23	33479501|28678778|30568305|25837513|28678784|31358999|30803026|16424171|28111070|26449664|23008334|32497499|28060797|33020644|32610128|33064988|21216894|21205303|21430775|21307934|3167057|21221095|20644199|4383288|22539670|27737878|28893733|31959774|22912393|30283138|19414787|14530340|22544927|17440104|30150207|24385147|24832523|31114916|31341290|19002680|21047511|31495665|28978689	Personal neoantigen vaccines induce persistent memory T cell responses and epitope spreading in patients with melanoma.
