doc_rank	rank	affiliation	firstname	initials	lastname
0	0	"Department of Medical Oncology, Dana-Farber Cancer Institute.
Harvard Medical School."	Girish S	GS	Naik
0	1	"Department of Medical Oncology, Dana-Farber Cancer Institute.
Harvard Medical School.
Brigham and Women's Hospital."	Elizabeth I	EI	Buchbinder
0	2	"Harvard Medical School.
Center for Melanoma, Massachusetts General Hospital, Boston."	Justine V	JV	Cohen
0	3	Department of Medical Oncology, Dana-Farber Cancer Institute.	Michael P	MP	Manos
0	4	Institute of Medical Engineering & Science, Massachusetts Institute of Technology, Cambridge, MA.	Alistair E W	AEW	Johnson
0	5	Department of Medical Oncology, Dana-Farber Cancer Institute.	Peter	P	Bowling
0	6	"Harvard Medical School.
Department of Radiation Oncology, Dana-Farber/Brigham and Women's Cancer Center."	Ayal A	AA	Aizer
0	7	"Harvard Medical School.
Department of Radiation Oncology, Dana-Farber/Brigham and Women's Cancer Center."	Jonathan D	JD	Schoenfeld
0	8	"Harvard Medical School.
Center for Melanoma, Massachusetts General Hospital, Boston."	Donald P	DP	Lawrence
0	9	"Department of Medical Oncology, Dana-Farber Cancer Institute.
Harvard Medical School.
Brigham and Women's Hospital."	Rizwan	R	Haq
0	10	"Department of Medical Oncology, Dana-Farber Cancer Institute.
Harvard Medical School.
Brigham and Women's Hospital."	Frank Stephen	FS	Hodi
0	11	"Harvard Medical School.
Center for Melanoma, Massachusetts General Hospital, Boston."	Ryan J	RJ	Sullivan
0	12	"Department of Medical Oncology, Dana-Farber Cancer Institute.
Harvard Medical School.
Brigham and Women's Hospital."	Patrick A	PA	Ott
1	0	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA. Electronic address: sklaeger@broadinstitute.org.	Susan	S	Klaeger
1	1	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA.	Annie	A	Apffel
1	2	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA.	Karl R	KR	Clauser
1	3	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA.	Siranush	S	Sarkizova
