doc_rank	rank	keyword
1	0	FAIMS
1	1	HLA
1	2	basic reversed-phase fractionation
1	3	immunopeptidomics
1	4	ion mobility
2	0	B7-H1 antigen
2	1	immunotherapy
2	2	investigational
2	3	therapies
3	0	B7-H1 antigen
3	1	CTLA-4 antigen
3	2	immunotherapy
3	3	investigational
3	4	therapies
7	0	KIT mutation
7	1	genetics
7	2	immune checkpoint blockade
7	3	immunotherapy
7	4	mucosal melanoma
8	0	Cytokine
8	1	Immunotherapy
8	2	Melanoma
8	3	Steroid
8	4	Toxicity
8	5	irAE
11	0	immune checkpoint inhibitors
11	1	kidney transplant
11	2	onconephrology
11	3	rejection
12	0	NEO-PV-01
12	1	T cell clonality
12	2	TCR repertoire
12	3	anti-PD-1
12	4	cancer vaccines
12	5	flow cytometry
12	6	immunotherapy
12	7	melanoma
12	8	predictive biomarkers
13	0	NEO-PV-01
13	1	T cell
13	2	anti-PD-1
13	3	cancer vaccine
13	4	checkpoint inhibitor
13	5	epitope spread
13	6	immunotherapy
13	7	metastatic cancer
13	8	neoantigen
13	9	personalized vaccine
15	0	colitis
15	1	immunotherapy
15	2	irAE
15	3	melanoma
15	4	toxicity
15	5	vitamin D
17	0	KEYNOTE-028
17	1	antitumor activity
17	2	carcinoid tumors
17	3	immunotherapy
17	4	pancreatic neuroendocrine tumors
17	5	pembrolizumab
17	6	programmed death-ligand 1
18	0	Heart transplant
18	1	Immune checkpoint inhibitors
18	2	Liver transplant
18	3	Renal transplant
18	4	Transplant rejection
22	0	Immunotherapy
22	1	Pembrolizumab
22	2	SCLC
22	3	Third-line therapy
23	0	Chemotherapies
23	1	Gastric cancer
23	2	Immunotherapy
23	3	Observational
23	4	Utilization patterns
25	0	Checkpoint inhibitors
25	1	Health services research
25	2	Immunotherapy
25	3	Ipilimumab
25	4	Metastatic melanoma
27	0	Immunotherapy
27	1	Ipilimumab
27	2	Programmed death-1 inhibitor
27	3	Small cell lung cancer: Nivolumab
28	0	Gastric cancer
28	1	Gastroesophageal junction cancer
28	2	Nivolumab
30	0	PD-1 inhibitors
30	1	immune checkpoint blockade
30	2	palliative radiation therapy
30	3	spinal cord compression
30	4	vertebral metastases
31	0	Anti-PD-1
31	1	Body mass index
31	2	Creatinine
31	3	Melanoma
31	4	Obesity paradox
34	0	Intralesional cancer immunotherapies
34	1	Oncolytic viral therapy
34	2	STING agonists
34	3	Toll-like receptor agonists
35	0	antibody-drug conjugate
35	1	clinical trial
35	2	glembatumumab vedotin
35	3	glycoprotein NMB (gpNMB)
35	4	melanoma
35	5	phase 2
35	6	targeted therapy
38	0	Clinical trials
38	1	Gynecologic cancers
38	2	Immunotherapy
38	3	PD-1
38	4	Pembrolizumab
39	0	Atezolizumab
39	1	Immune checkpoint inhibitors
39	2	Interferon
39	3	Interleukin 10
39	4	Interleukin 15
39	5	Interleukin-2
